feature_name,MAE_norm,Norm_Coeff_age,Norm_Coeff_age2,Norm_Intercept,Scaler_center,Scaler_scale,mean
A2009-ctx-lh-S_circular_insula_inf_ThickAvg,0.538482409366206,-0.0125037931965941,-0.000126474906305052,0.823708295414143,2.727,0.264,-2.57612680971031
A2009-ctx-lh-S_circular_insula_inf_ThickStd,0.57682103898012,-0.0262210580948818,0.00039552003170333,0.312339279082355,0.674,0.134,0.104554473414824
A2009-ctx-lh-S_circular_insula_sup_GrayVol,0.565957637197312,-0.0503718925258631,0.000393062141273305,1.39561012507468,2504,396,0.595277885396042
A2009-ctx-lh-S_circular_insula_sup_ThickAvg,0.519303241309177,-0.0654347757574503,0.000369039472799873,2.17343578373995,2.553,0.192,1.5655778337282
A2009-ctx-lh-S_circular_insula_sup_ThickStd,0.608476844310705,-0.0563303858887184,0.000612827557329763,1.18282473683686,0.49,0.07,1.25267958617394
A2009-ctx-lh-S_collat_transv_ant_GrayVol,0.584559462617838,0.0113434347430132,-0.000242444563726094,0.0589426745443349,1798,436,-0.594491293614665
A2009-ctx-lh-S_collat_transv_ant_ThickAvg,0.60560697289638,-0.0184926571867616,7.29496456710181E-05,0.679464003109448,2.593,0.24,1.06413534725358
A2009-ctx-lh-S_collat_transv_ant_ThickStd,0.596855842714337,-0.0415380794580115,0.000319216767622589,1.21053986717917,0.532,0.114,-1.12459975009067
A2009-ctx-lh-S_collat_transv_post_GrayVol,0.575450948466104,4.46815901558037E-05,-0.000144177380984561,0.328570492952079,603,179,0.422014688739357
A2009-ctx-lh-S_collat_transv_post_ThickAvg,0.57805244615764,-0.0331313100457326,0.000155807524131407,1.16543348051848,1.924,0.252,-1.50027810461893
A2009-ctx-lh-S_collat_transv_post_ThickStd,0.626579630083027,-0.0205524043125388,0.000118675751857453,0.691815407287815,0.408,0.114,-1.5411327691665
A2009-ctx-lh-S_front_inf_GrayVol,0.566379504351918,-0.0196030305258983,5.46300631620716E-05,0.779753625813003,3285,870,1.08909641343422
A2009-ctx-lh-S_front_inf_ThickAvg,0.562214384888566,-0.0647987845506288,0.000441745245941819,1.94380881393078,2.196,0.176,-0.366593470900914
A2009-ctx-lh-S_front_inf_ThickStd,0.596334520839728,-0.0535766942566414,0.000501175341156947,1.31168788669424,0.443,0.061,-1.07561307411675
A2009-ctx-lh-S_front_middle_GrayVol,0.570359493853432,-0.035942782199716,0.000179865077713492,1.24776958555965,2080,578,1.08205977858692
A2009-ctx-lh-S_front_middle_ThickAvg,0.566448731867317,-0.0316008208744167,0.000162924522673378,1.06007627559908,2.143,0.213,-0.712508892109875
A2009-ctx-lh-S_front_middle_ThickStd,0.599911185981726,-0.0462962085244948,0.000376845086734938,1.33810042950544,0.445,0.074,1.74993816364492
A2009-ctx-lh-S_front_sup_GrayVol,0.59321247841885,-0.0206872814406762,8.09020606655499E-05,0.789130504284896,4391,1035,-0.091333797525189
A2009-ctx-lh-S_front_sup_ThickAvg,0.559724115924749,-0.0450389606001401,0.000435796081204045,1.07841444680987,2.268,0.255,-1.78510454450537
A2009-ctx-lh-S_front_sup_ThickStd,0.603101511268635,-0.0687388945507004,0.000670441386760572,1.66662547644599,0.471,0.065,1.98530233948322
